year,make,model,miles,trim,sold_price
2020,Toyota,Corolla,52513,LE,20651
2017,Nissan,Maxima,54871,Platinum,27590
2016,Nissan,Versa,99743,SV,13990
2019,Volvo,XC40,30380,T5 Momentum,36990
2018,Ford,Escape,62351,SEL,20074
2017,Audi,S3,19645,Premium Plus,35590
2019,BMW,7 Series,36886,740i,48990
2017,Chevrolet,Sonic,16186,LS,17990
2015,Jeep,Wrangler,81864,Unlimited Sahara,30990
2019,Lincoln,Nautilus,22304,Select,35990
2020,INFINITI,QX60,7276,PURE,36990
2013,Buick,LaCrosse,47808,base,16590
2015,Acura,MDX,72156,SH-AWD,26990
2012,Ford,Fusion,73637,SE,14990
2017,Hyundai,Elantra,51315,Limited,19990
2018,Volkswagen,Golf GTI,60070,SE Hatchback,27990
2017,Audi,A7,23314,Prestige,45990
2012,Hyundai,Sonata,70816,Limited,16590
2012,Toyota,Avalon,42336,base,19990
2015,Nissan,Altima,63230,2.5 S,16590
2018,Nissan,Rogue,58061,SV,20460
2013,Honda,Accord,91142,EX,16990
2022,Ford,Maverick,8664,Lariat SuperCrew 4 1/2 ft,45990
2015,Audi,A5,45837,Premium,28990
2021,Hyundai,Accent,37983,SEL,20990
2020,Mitsubishi,Mirage,15656,ES,16998
2017,INFINITI,QX50,45732,base,25990
2016,Nissan,Altima,26014,2.5 S,19990
2019,Toyota,4Runner,23334,SR5 Premium,42590
2015,INFINITI,QX60,72243,3.5,23590
2014,Toyota,Sienna,75205,XLE,24990
2017,Chevrolet,Cruze,28209,LT,19590
2015,Volkswagen,Golf,51389,SE Hatchback,18990
2018,BMW,5 Series,23602,540i xDrive,42590
2019,Ford,Ranger SuperCrew,35435,Lariat 5 ft,34990
2010,Lexus,ES,104497,ES 350,15990
2018,MAZDA,MAZDA6,79442,Grand Touring,22990
2019,GMC,Acadia,34258,SLE-1,28990
2015,Kia,Sedona,49028,EX,22990
2015,MAZDA,MAZDA3,57207,s Grand Touring,20590
2012,Nissan,JUKE,85714,SV,14990
2021,Nissan,Versa,8855,S,21590
2019,Buick,Enclave,33123,Avenir,39590
2019,Jeep,Cherokee,37382,Latitude Plus,26990
2018,Mercedes-Benz,GLC,23471,GLC 300,35590
2021,Honda,Ridgeline,2591,Sport 5 ft,41590
2015,Mercedes-Benz,CLA-Class,81987,CLA 250,21990
2021,Tesla,Model Y,11358,Long Range,72590
2013,MINI,Hardtop,61545,Cooper S,17990
2016,FIAT,500X,49434,Trekking,17990
2020,Nissan,Altima,38002,2.5 S,21094
2014,Audi,A6,51714,TDI Premium Plus,26990
2013,Volkswagen,GTI,85069,Autobahn Hatchback,18990
2021,Mercedes-Benz,GLB,6839,GLB 250 4MATIC,46000
2014,Cadillac,ATS,46347,3.6L Performance,23590
2017,Volkswagen,Tiguan,51588,2.0T Wolfsburg Edition,20990
2016,Dodge,Journey,36511,SE,18990
2020,Chevrolet,Malibu,52498,LT,19903
2020,GMC,Sierra 1500 Crew Cab,38651,SLT 6 1/2 ft,55781
2016,Chevrolet,Cruze Limited,68523,1LT,15590
2018,Jeep,Compass,47714,Sport,21590
2015,Chevrolet,Tahoe,93519,LT,32590
2016,Ford,Focus,51321,SE,15590
2017,Nissan,Frontier Crew Cab,78234,SV 5 ft,24590
2016,BMW,X1,32876,xDrive28i,27990
2018,Nissan,LEAF,27128,S,21990
2014,Honda,Accord,54921,EX-L,21990
2017,Nissan,Versa,35945,S,15590
2019,Dodge,Grand Caravan Passenger,75411,SXT,19990
2014,Toyota,Avalon,27857,XLE Touring,24990
2019,Honda,Accord,40091,Sport,28990
2018,Lexus,LC,8981,LC 500h,75990
2015,Porsche,Macan,62205,S,35590
2010,Acura,RDX,78587,base,16590
2016,Subaru,Legacy,15711,2.5i Premium,23590
2015,Honda,Civic,80296,LX,16990
2012,BMW,X3,76530,xDrive28i,17990
2011,Acura,TSX,104559,base,15990
2020,INFINITI,QX60,33249,LUXE,37990
2014,Ford,Focus,34677,SE,15590
2012,Nissan,Murano,98186,SL,15590
2016,Honda,Civic,47557,EX,22990
2018,Tesla,Model S,32940,75D,60990
2016,GMC,Sierra 1500 Regular Cab,88331,8 ft,22990
2017,Volkswagen,Jetta,73360,1.4T SE,17990
2015,Dodge,Durango,78459,R/T,29990
2013,Nissan,Altima,47296,2.5 SL,18990
2019,Nissan,Rogue,22324,SV,25990
2020,Chevrolet,Tahoe,64203,LT,38793
2011,BMW,3 Series,70185,328i xDrive,16990
2014,Mercedes-Benz,S-Class,28030,S 550,44590
2020,Nissan,Altima,50261,2.5 S,21299
2018,Jeep,Compass,48593,Latitude,20612
2014,Hyundai,Accent,88400,GLS,13990
2020,Toyota,Avalon,31246,TRD,38999
2011,INFINITI,EX,61648,EX35 Journey,19990
2014,MINI,Hardtop,54786,Cooper S,19990
2016,Ford,Focus,15965,Electric,18990
2018,Dodge,Charger,21276,Daytona 392,44990
2020,Hyundai,Tucson,24149,Value,26590
2016,Kia,Sedona,46003,EX,23990
2016,Ford,Mustang,73626,EcoBoost Premium,22590
2015,FIAT,500,92812,Sport,12990
2021,Chevrolet,Traverse,18170,LS,35990
2019,Honda,Pilot,25985,Elite,43419
2021,Volkswagen,Jetta,17395,1.4T S,23990
2012,Nissan,LEAF,44865,SL,13990
2011,MAZDA,MAZDA3,82899,i Touring,12990
